name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FHL J1230.8+1223,PointSource,187.7033439,12.38887981,,9.5102E-16,,,,
3FHL J1231.4+1422,PointSource,187.8662412,14.36803027,,9.02067E-16,,,,
3FHL J0022.4+0607,PointSource,5.621655307,6.132139857,,3.43493E-15,,,,
3FHL J0031.2+0727,PointSource,7.819597864,7.459072875,,1.13255E-15,,,,
3FHL J0049.7+0238,PointSource,12.44653041,2.644413227,,1.84458E-15,,,,
3FHL J1613.6+3411,PointSource,243.4211782,34.19400637,,2.20844E-15,,,,
3FHL J1626.2+3515,PointSource,246.5747676,35.2622909,,3.17436E-16,,,,
3FHL J1627.3+3148,PointSource,246.8408363,31.81338457,,6.00286E-16,,,,
3FHL J1643.7+3317,PointSource,250.9428868,33.29509069,,1.16203E-15,,,,
3FHL J0658.5+0636,PointSource,104.6365385,6.603248126,,5.73075E-16,,,,
3FHL J0706.1+0247,PointSource,106.5346602,2.7987144,,8.27216E-17,,,,
3FHL J1234.8-0435,PointSource,188.7096493,-4.586373449,,3.59186E-16,,,,
3FHL J1256.1-0547,PointSource,194.0442809,-5.794593018,,2.12946E-14,,,,
3FHL J2338.9+2123,PointSource,354.7449706,21.39655256,,9.0048E-16,,,,
3FHL J2352.1+1753,PointSource,358.0414619,17.88645586,,9.92266E-16,,,,
3FHL J2321.6-1618,PointSource,350.4064797,-16.31396533,,4.21678E-16,,,,
3FHL J0926.4+5411,PointSource,141.6003311,54.185995,,2.98443E-16,,,,
3FHL J0929.3+5013,PointSource,142.3382166,50.23102069,,3.88999E-15,,,,
3FHL J0930.4+4952,PointSource,142.6244646,49.87545943,,3.97658E-16,,,,
3FHL J0957.6+5523,PointSource,149.4222712,55.38626712,,2.13248E-14,,,,
3FHL J1503.7-1541,PointSource,225.9279528,-15.6898804,,2.84909E-15,,,,
3FHL J0553.5-2034,PointSource,88.39897779,-20.57505836,,1.16217E-15,,,,
3FHL J1849.2-1647,PointSource,282.3160058,-16.78688879,,8.44544E-16,,,,
3FHL J1856.1-1221,PointSource,284.030881,-12.354376,,1.30615E-15,,,,
3FHL J1833.6-1034,PointSource,278.4147929,-10.57257514,,3.50493E-15,,,,
3FHL J0246.1-4650,PointSource,41.536206,-46.8472807,,3.20125E-15,,,,
3FHL J1217.9+3006,PointSource,184.4772286,30.11482236,,1.5868E-14,,,,
3FHL J1220.0+3432,PointSource,185.0108875,34.53721814,,9.04807E-16,,,,
3FHL J1221.3+3010,PointSource,185.3371807,30.16693084,,1.24015E-14,,,,
3FHL J1221.5+2813,PointSource,185.3848108,28.23212191,,4.21434E-15,,,,
3FHL J1639.3-5145,PointSource,249.8329952,-51.76414045,,5.31849E-15,,,,
3FHL J1650.3-5045,PointSource,252.5907405,-50.75076552,,6.10151E-15,,,,
3FHL J1558.8-6432,PointSource,239.7226922,-64.53973695,,3.42788E-15,,,,
3FHL J1603.3-6011,PointSource,240.8453838,-60.19977937,,6.32816E-15,,,,
3FHL J1647.3-6438,PointSource,251.8404009,-64.63574057,,7.3279E-16,,,,
3FHL J0058.0-3234,PointSource,14.51767869,-32.57541717,,4.75485E-15,,,,
3FHL J0059.4-3513,PointSource,14.85666898,-35.2238562,,3.27695E-15,,,,
3FHL J0109.9-4020,PointSource,17.49703282,-40.34018553,,2.83727E-16,,,,
3FHL J0114.9-3359,PointSource,18.73950747,-33.99786356,,1.79239E-16,,,,
3FHL J0121.9-3917,PointSource,20.48345582,-39.28703362,,5.66665E-16,,,,
3FHL J2304.7+3705,PointSource,346.1778976,37.0982964,,2.25358E-15,,,,
3FHL J2323.8+4210,PointSource,350.9707362,42.1777747,,6.24827E-15,,,,
3FHL J2325.2+3957,PointSource,351.3197167,39.95400894,,4.75686E-15,,,,
3FHL J2329.2+3755,PointSource,352.3099016,37.92041026,,2.10083E-15,,,,
