name,RA,Dec,l,b,x,y
1FHL J1224.5+2437,186.146,24.628,,,,
1FHL J1224.8+2122,186.22,21.377,,,,
1FHL J1228.5+4857,187.146,48.96,,,,
1FHL J1230.3+2522,187.586,25.377,,,,
1FHL J1230.8+1224,187.701,12.406,,,,
1FHL J1231.2?1414,187.809,-14.236,,,,
1FHL J1231.8+2849,187.97,28.824,,,,
1FHL J1234.1?5735,188.531,-57.592,,,,
1FHL J1239.6+0443,189.901,4.732,,,,
1FHL J1240.4?7150,190.1,-71.838,,,,
1FHL J1243.2+3628,190.807,36.468,,,,
1FHL J1244.9+5708,191.244,57.14,,,,
1FHL J1246.6?2548,191.659,-25.809,,,,
1FHL J1248.1+5821,192.041,58.361,,,,
1FHL J1249.7+3706,192.427,37.102,,,,
1FHL J1253.1+5301,193.294,53.02,,,,
1FHL J1253.6+0329,193.423,3.491,,,,
1FHL J1256.1?0547,194.049,-5.798,,,,
1FHL J1256.4?1146,194.112,-11.77,,,,
1FHL J1302.9+2433,195.748,24.563,,,,
1FHL J1304.1?2413,196.048,-24.23,,,,
1FHL J1304.3?4354,196.08,-43.915,,,,
1FHL J1307.7?4259,196.929,-42.999,,,,
1FHL J1308.1?2839,197.041,-28.658,,,,
1FHL J1309.3+4304,197.345,43.069,,,,
1FHL J1310.6+3222,197.674,32.381,,,,
1FHL J1310.9+0036,197.74,0.607,,,,
1FHL J1312.2?2158,198.061,-21.97,,,,
1FHL J1312.8+4827,198.201,48.459,,,,
1FHL J1314.9?4241,198.749,-42.696,,,,
1FHL J1315.0+2346,198.772,23.774,,,,
1FHL J1315.7?0730,198.949,-7.5,,,,
1FHL J1315.9?3333,198.993,-33.559,,,,
1FHL J1322.9+2942,200.731,29.702,,,,
1FHL J1326.1?4303,201.528,-43.054,,,,
1FHL J1327.1?5258,201.788,-52.974,,,,
1FHL J1328.5?4728,202.148,-47.471,,,,
1FHL J1328.7?5604,202.195,-56.079,,,,
1FHL J1330.4?7005,202.615,-70.084,,,,
1FHL J1332.0?0508,203.015,-5.136,,,,
1FHL J1344.0?1722,206.001,-17.381,,,,
1FHL J1351.4+1115,207.867,11.256,,,,
1FHL J1353.0?6642,208.273,-66.712,,,,
1FHL J1359.9?3746,209.987,-37.777,,,,
1FHL J1406.3?2509,211.585,-25.157,,,,
1FHL J1406.4+1646,211.613,16.771,,,,
1FHL J1407.1?6133,211.799,-61.561,,,,
1FHL J1410.4+7408,212.616,74.138,,,,
1FHL J1413.4?6205,213.355,-62.098,,,,
1FHL J1418.4?0234,214.603,-2.574,,,,
1FHL J1418.6?6059,214.658,-60.993,,,,
1FHL J1418.6+2539,214.659,25.658,,,,
1FHL J1419.0+7730,214.755,77.505,,,,
1FHL J1420.1?6047,215.027,-60.797,,,,
1FHL J1425.1+3613,216.288,36.219,,,,
1FHL J1427.0+2347,216.766,23.79,,,,
1FHL J1428.0?4206,217.012,-42.104,,,,
1FHL J1428.6+4239,217.158,42.659,,,,
1FHL J1436.9+5642,219.243,56.702,,,,
1FHL J1439.3+3933,219.835,39.555,,,,
1FHL J1440.6?3847,220.168,-38.799,,,,
1FHL J1441.0+0609,220.252,6.162,,,,
1FHL J1442.9+1158,220.737,11.982,,,,
1FHL J1444.0?3908,221.011,-39.145,,,,
1FHL J1448.2+3607,222.052,36.123,,,,
1FHL J1454.4+5120,223.619,51.336,,,,
1FHL J1457.3?3544,224.341,-35.741,,,,
1FHL J1501.0+2238,225.275,22.639,,,,
1FHL J1503.9?1540,225.976,-15.681,,,,
1FHL J1504.3+1029,226.095,10.488,,,,
1FHL J1507.0?6223,226.752,-62.397,,,,
1FHL J1512.1?2255,228.039,-22.93,,,,
1FHL J1512.2+0204,228.064,2.074,,,,
1FHL J1512.8?0906,228.201,-9.111,,,,
1FHL J1514.0?5915e,228.507,-59.256,,,,
1FHL J1514.3?4945,228.582,-49.751,,,,
1FHL J1517.8?2421,229.453,-24.357,,,,
1FHL J1517.9+6526,229.48,65.448,,,,
1FHL J1518.4?2733,229.61,-27.551,,,,
1FHL J1520.8?0348,230.21,-3.806,,,,
1FHL J1522.2+3145,230.554,31.754,,,,
1FHL J1532.6?1317,233.166,-13.299,,,,
1FHL J1536.4?4951,234.115,-49.863,,,,
1FHL J1537.5+8159,234.395,81.989,,,,
1FHL J1542.9+6128,235.726,61.478,,,,
1FHL J1545.2?6640,236.311,-66.672,,,,
1FHL J1548.3+1455,237.089,14.922,,,,
1FHL J1548.8?2251,237.224,-22.854,,,,
1FHL J1549.9?0658,237.488,-6.977,,,,
1FHL J1552.6?5610,238.173,-56.167,,,,
1FHL J1553.4?3117,238.362,-31.295,,,,
1FHL J1555.7+1111,238.942,11.19,,,,
1FHL J1558.5?6428,239.645,-64.481,,,,
1FHL J1603.7?4903,240.95,-49.063,,,,
1FHL J1610.9?6650,242.726,-66.849,,,,
1FHL J1615.3?5146e,243.83,-51.78,,,,
1FHL J1616.2?5054e,244.06,-50.91,,,,
1FHL J1619.8+7540,244.961,75.673,,,,
1FHL J1620.7?4928,245.187,-49.471,,,,
1FHL J1625.7?2531,246.433,-25.517,,,,
1FHL J1631.0+5224,247.771,52.401,,,,
1FHL J1633.0?4746e,248.25,-47.77,,,,
1FHL J1634.7?4705,248.69,-47.089,,,,
1FHL J1635.0+3808,248.767,38.143,,,,
1FHL J1637.9?3450,249.482,-34.838,,,,
1FHL J1640.5?4634,250.127,-46.569,,,,
1FHL J1640.7+3943,250.197,39.73,,,,
1FHL J1650.1?5045,252.53,-50.757,,,,
1FHL J1653.9+3945,253.489,39.754,,,,
1FHL J1709.5+4320,257.393,43.349,,,,
1FHL J1709.7?4429,257.449,-44.488,,,,
1FHL J1713.5?3951e,258.39,-39.85,,,,
1FHL J1717.9?3725,259.496,-37.427,,,,
1FHL J1719.1+1745,259.798,17.75,,,,
1FHL J1722.6+1011,260.654,10.198,,,,
1FHL J1725.1+1151,261.293,11.866,,,,
1FHL J1728.3+5014,262.089,50.236,,,,
1FHL J1730.7+0017,262.7,0.297,,,,
1FHL J1735.3?1118,263.84,-11.311,,,,
1FHL J1735.9+2033,263.999,20.552,,,,
1FHL J1739.3+4953,264.846,49.884,,,,
1FHL J1740.2+5211,265.071,52.184,,,,
1FHL J1741.9?2539,265.483,-25.658,,,,
1FHL J1744.2+1938,266.058,19.641,,,,
1FHL J1745.6?2900,266.413,-29.008,,,,
1FHL J1746.3?2851,266.593,-28.863,,,,
1FHL J1748.5+7006,267.127,70.101,,,,
1FHL J1751.5+0938,267.876,9.64,,,,
1FHL J1754.2+3213,268.56,32.224,,,,
1FHL J1756.5+5523,269.138,55.393,,,,
1FHL J1758.3?2340,269.591,-23.671,,,,
1FHL J1800.5+7829,270.147,78.483,,,,
1FHL J1801.3?2326e,270.34,-23.44,,,,
1FHL J1802.7?3940,270.68,-39.674,,,,
1FHL J1805.6?2136e,271.408,-21.612,,,,
1FHL J1806.3+6948,271.586,69.802,,,,
1FHL J1809.3+2040,272.336,20.68,,,,
1FHL J1809.6+2910,272.41,29.167,,,,
1FHL J1809.8?2329,272.462,-23.496,,,,
1FHL J1813.4+3145,273.371,31.752,,,,
1FHL J1823.7?3455,275.929,-34.919,,,,
1FHL J1824.5?1351e,276.13,-13.852,,,,
1FHL J1826.2?1450,276.574,-14.848,,,,
1FHL J1828.9?2417,277.246,-24.284,,,,
1FHL J1830.6?0147,277.661,-1.791,,,,
1FHL J1833.7?2105,278.428,-21.087,,,,
1FHL J1834.6?0703,278.668,-7.064,,,,
1FHL J1836.4+5925,279.117,59.419,,,,
1FHL J1836.5?0655e,279.14,-6.92,,,,
1FHL J1838.8+4800,279.713,48.012,,,,
1FHL J1839.1?0557,279.784,-5.958,,,,
1FHL J1839.4?0708,279.862,-7.144,,,,
1FHL J1841.1+2914,280.291,29.244,,,,
1FHL J1841.8+3219,280.465,32.33,,,,
1FHL J1848.5+3219,282.125,32.322,,,,
1FHL J1849.3+6705,282.348,67.091,,,,
1FHL J1852.3+4853,283.082,48.888,,,,
1FHL J1855.9+0121e,283.99,1.355,,,,
1FHL J1856.9+0252,284.227,2.872,,,,
1FHL J1903.4+5541,285.859,55.69,,,,
1FHL J1907.7+0600,286.94,6.001,,,,
1FHL J1910.9?1906,287.731,-19.104,,,,
1FHL J1911.0+0905,287.758,9.088,,,,
1FHL J1917.7?1921,289.441,-19.365,,,,
1FHL J1918.1?4109,289.538,-41.165,,,,
1FHL J1922.0?1607,290.501,-16.13,,,,
1FHL J1923.2+1408e,290.818,14.145,,,,
1FHL J1926.9+6153,291.737,61.892,,,,
1FHL J1931.0+0938,292.77,9.634,,,,
1FHL J1936.8?4721,294.214,-47.356,,,,
1FHL J1942.8+1034,295.717,10.568,,,,
1FHL J1953.3+3251,298.348,32.85,,,,
1FHL J1958.4?3015,299.601,-30.255,,,,
1FHL J1958.6+2845,299.664,28.762,,,,
1FHL J2000.0+6509,300.007,65.158,,,,
1FHL J2001.1?1752,300.278,-17.868,,,,
1FHL J2001.1+4353,300.299,43.89,,,,
1FHL J2002.6+6303,300.657,63.055,,,,
1FHL J2004.4+3339,301.12,33.662,,,,
1FHL J2004.7+7003,301.182,70.066,,,,
1FHL J2009.4?4849,302.36,-48.83,,,,
1FHL J2012.1+4629,303.029,46.491,,,,
1FHL J2015.3?1432,303.833,-14.544,,,,
1FHL J2015.8+3710,303.961,37.175,,,,
1FHL J2016.3?0907,304.091,-9.121,,,,
1FHL J2018.3+3851,304.583,38.851,,,,
1FHL J2021.0+3651,305.27,36.863,,,,
1FHL J2021.0+4031e,305.27,40.52,,,,
1FHL J2025.8?0734,306.466,-7.577,,,,
1FHL J2028.6+4110e,307.17,41.17,,,,
1FHL J2031.4+1941,307.853,19.695,,,,
1FHL J2032.1+4125,308.047,41.424,,,,
1FHL J2036.9?3325,309.228,-33.424,,,,
1FHL J2039.2?1045,309.801,-10.757,,,,
1FHL J2040.0?7119,310.011,-71.323,,,,
1FHL J2042.4+2426,310.606,24.435,,,,
1FHL J2056.3?4712,314.092,-47.208,,,,
1FHL J2109.2?6635,317.303,-66.589,,,,
1FHL J2115.6+2935,318.908,29.597,,,,
1FHL J2116.2+3339,319.052,33.662,,,,
1FHL J2121.0+1901,320.263,19.032,,,,
1FHL J2127.8+3614,321.97,36.238,,,,
1FHL J2131.6?0913,322.901,-9.228,,,,
1FHL J2134.6?2130,323.653,-21.5,,,,
1FHL J2139.4?4238,324.875,-42.636,,,,
1FHL J2142.6?2027,325.669,-20.466,,,,
1FHL J2146.5?1344,326.647,-13.749,,,,
1FHL J2147.5?7536,326.881,-75.611,,,,
1FHL J2150.2?1413,327.572,-14.223,,,,
1FHL J2158.8?3013,329.721,-30.219,,,,
1FHL J2159.1?3344,329.799,-33.742,,,,
1FHL J2202.7+4216,330.681,42.281,,,,
1FHL J2203.4+1724,330.856,17.411,,,,
1FHL J2212.5+2803,333.128,28.051,,,,
1FHL J2221.3?5225,335.336,-52.432,,,,
1FHL J2223.4+0104,335.86,1.07,,,,
1FHL J2229.0+6114,337.267,61.246,,,,
1FHL J2236.2+2827,339.07,28.46,,,,
1FHL J2236.3?1432,339.097,-14.536,,,,
1FHL J2244.0+2020,341.004,20.343,,,,
1FHL J2246.9?5205,341.734,-52.088,,,,
1FHL J2247.7+4412,341.935,44.203,,,,
1FHL J2250.1+3823,342.539,38.399,,,,
1FHL J2250.7?2811,342.698,-28.187,,,,
1FHL J2253.9+1608,343.477,16.146,,,,
1FHL J2257.9?3644,344.485,-36.748,,,,
1FHL J2304.6+3704,346.16,37.071,,,,
1FHL J2308.1+1459,347.034,14.989,,,,
1FHL J2311.0+3425,347.771,34.43,,,,
1FHL J2314.0+1446,348.514,14.769,,,,
1FHL J2322.5+3436,350.647,34.602,,,,
1FHL J2323.3+5849,350.85,58.817,,,,
1FHL J2323.8+4210,350.962,42.171,,,,
1FHL J2324.6?4041,351.175,-40.684,,,,
1FHL J2325.4+3959,351.362,39.988,,,,
1FHL J2325.5?4759,351.382,-47.995,,,,
1FHL J2329.1+3754,352.28,37.909,,,,
1FHL J2329.2?4957,352.304,-49.959,,,,
1FHL J2334.7+1433,353.688,14.566,,,,
1FHL J2339.8?0530,354.963,-5.512,,,,
1FHL J2341.3+8016,355.349,80.279,,,,
1FHL J2345.0?1556,356.261,-15.937,,,,
1FHL J2347.0+5142,356.759,51.705,,,,
1FHL J2347.2+0707,356.806,7.123,,,,
1FHL J2359.2?3037,359.812,-30.618,,,,
1FHL J2359.2?3037,359.812,-30.618,,,,
