name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
2FGL J2025.1+3341,PointSource,306.2815765,33.6950316,,4.96E-12,,,,
2FGL J2028.3+3332,PointSource,307.0982056,33.5415535,,9.24E-12,,,,
2FGL J2012.4+3955c,PointSource,303.1198425,39.92891693,,1.28E-11,,,,
2FGL J2018.2+3850c,PointSource,304.5650024,38.8413887,,3.70E-13,,,,
2FGL J2022.8+3843c,PointSource,305.7093811,38.72262192,,4.31E-11,,,,
2FGL J0059.2-0151,PointSource,14.81913076,-1.851636353,,2.79E-15,,,,
2FGL J0108.6+0135,PointSource,17.17354202,1.590709686,,1.65E-10,,,,
2FGL J0115.4+0358,PointSource,18.87461281,3.96731472,,9.37E-13,,,,
2FGL J0127.2+0324,PointSource,21.81883812,3.407224417,,1.61E-13,,,,
2FGL J2258.8-5524,PointSource,344.7172546,-55.41062546,,2.90E-14,,,,
2FGL J2332.5-5535,PointSource,353.1429138,-55.58715439,,3.76E-13,,,,
2FGL J0533.0+4823,PointSource,83.26060486,48.39379501,,9.44E-12,,,,
2FGL J0602.3+5315,PointSource,90.58890533,53.25148392,,3.01E-14,,,,
2FGL J0607.4+4739,PointSource,91.86999512,47.65819168,,1.23E-12,,,,
2FGL J2110.3+3822,PointSource,317.5899963,38.36899185,,9.43E-14,,,,
2FGL J1203.6-6243c,PointSource,180.9239655,-62.71868134,,2.73E-12,,,,
2FGL J1208.5-6240,PointSource,182.1385193,-62.67416382,,1.71E-12,,,,
2FGL J1214.0-6237,PointSource,183.504837,-62.61982346,,2.94E-12,,,,
2FGL J2117.5+3730,PointSource,319.3849182,37.51454163,,1.75E-12,,,,
2FGL J2127.8+3614,PointSource,321.9696722,36.23794531,,7.37E-14,,,,
2FGL J2115.3+2932,PointSource,318.8479919,29.54714966,,3.04E-12,,,,
2FGL J2116.2+3339,PointSource,319.0518494,33.66241455,,4.71E-13,,,,
2FGL J2159.9+1023,PointSource,329.983,10.398,,2.00E-13,,,,
2FGL J2204.6+0442,PointSource,331.1640015,4.704594135,,6.77E-13,,,,
2FGL J2212.6+0702,PointSource,333.1582336,7.048287869,,1.36E-12,,,,
2FGL J0118.6-4631,PointSource,19.66518021,-46.52531815,,2.12E-14,,,,
2FGL J0133.4-4408,PointSource,23.36384964,-44.14189529,,1.59E-13,,,,
2FGL J0007.8+4713,PointSource,1.974316716,47.22981644,,1.82E-12,,,,
2FGL J2055.8+4754,PointSource,313.9674377,47.90942764,,1.25E-13,,,,
2FGL J2103.4+4706,PointSource,315.85603,47.11478,,2.31E-13,,,,
2FGL J2108.9-6636,PointSource,317.2293396,-66.60277557,,7.54E-14,,,,
2FGL J2133.5-6431,PointSource,323.375946,-64.53279877,,7.93E-13,,,,
2FGL J2134.5-6513,PointSource,323.6427307,-65.22812653,,3.71E-14,,,,
2FGL J2039.6+5218,PointSource,309.9127197,52.31419754,,5.92E-15,,,,
2FGL J2041.5+5003,PointSource,310.3760986,50.06559753,,6.69E-13,,,,
2FGL J2043.3+5105,PointSource,310.837677,51.09914398,,1.97E-11,,,,
2FGL J2046.0+4954,PointSource,311.5233154,49.91263199,,7.75E-12,,,,
2FGL J2051.8+5054,PointSource,312.9554749,50.90578079,,7.38E-13,,,,
2FGL J2201.2+5926,PointSource,330.314,59.44,,1.19E-12,,,,
2FGL J2210.1+5913,PointSource,332.546875,59.23323059,,1.23E-12,,,,
2FGL J2219.6+5850,PointSource,334.9132996,58.83480835,,1.63E-12,,,,
2FGL J1329.2-5608,PointSource,202.3199311,-56.13607356,,5.78E-12,,,,
2FGL J1335.4-5658,PointSource,203.8745117,-56.97121429,,1.32E-12,,,,
2FGL J0010.5+6556c,PointSource,2.640678644,65.93387604,,2.04E-11,,,,
2FGL J2353.3+6643c,PointSource,358.3407593,66.71928406,,4.75E-13,,,,
2FGL J2359.4+6751c,PointSource,359.8598938,67.86333466,,6.27E-12,,,,
2FGL J2359.6+6543c,PointSource,359.9069214,65.73053741,,6.43E-13,,,,
2FGL J0458.4+0654,PointSource,74.60198975,6.903801441,,1.02E-12,,,,
2FGL J0502.5+0607,PointSource,75.64139557,6.120203018,,7.23E-13,,,,
2FGL J0505.4+0419,PointSource,76.35322203,4.328055598,,1.69E-13,,,,
2FGL J0505.5+0501,PointSource,76.38460541,5.032003403,,9.64E-13,,,,
2FGL J0509.4+0542,PointSource,77.36832428,5.700270653,,3.02E-12,,,,
2FGL J0509.2+1013,PointSource,77.31108588,10.22084736,,2.42E-12,,,,
2FGL J0517.5+0900,PointSource,79.38513184,9.011061668,,2.35E-12,,,,
2FGL J0538.1+2718,PointSource,84.53862762,27.30594063,,7.95E-13,,,,
2FGL J0608.3+2037,PointSource,92.08504486,20.63196564,,8.10E-12,,,,
2FGL J0617.2+2234e,DiffuseSource,94.31,22.58,0.27,1.65E-10,,,,
2FGL J0616.6+2425,PointSource,94.151,24.421,,5.25E-13,,,,
2FGL J0705.3-1043c,PointSource,106.3444824,-10.72034264,,1.67E-12,,,,
2FGL J0708.5-1020c,PointSource,107.1254578,-10.34915924,,4.41E-12,,,,
2FGL J0713.5-0952,PointSource,108.3902969,-9.874010086,,6.93E-12,,,,
2FGL J0833.1-4511e,DiffuseSource,128.287,-45.1901,0.91,,,,,
2FGL J0842.9-4721,PointSource,130.7411652,-47.3647995,,6.81E-11,,,,
2FGL J0835.3-4510,PointSource,128.8391418,-45.17922592,,7.25E-09,,,,
2FGL J1021.6+8021,PointSource,155.4157654,80.36260616,,2.88E-13,,,,
2FGL J1042.6+8053,PointSource,160.6584167,80.88700867,,6.43E-13,,,,
2FGL J1059.4+8113,PointSource,164.8589172,81.2310257,,3.05E-12,,,,
2FGL J1103.9-5356,PointSource,165.9939117,-53.9399147,,2.82E-12,,,,
2FGL J1117.2-5341,PointSource,169.3164978,-53.69662857,,5.13E-14,,,,
2FGL J1057.9-5226,PointSource,164.4964294,-52.44846725,,1.39E-10,,,,
2FGL J1051.3+3938,PointSource,162.8310547,39.64676285,,1.26E-14,,,,
2FGL J1100.9+4014,PointSource,165.2328432,40.24689157,,2.39E-14,,,,
2FGL J1104.4+3812,PointSource,166.1198883,38.21338272,,1.80E-11,,,,
2FGL J1407.6-5937c,PointSource,211.9147644,-59.62737274,,6.40E-13,,,,
2FGL J1147.7-0724,PointSource,176.9402161,-7.40017271,,3.36E-12,,,,
2FGL J1152.4-0840,PointSource,178.1121826,-8.674272537,,6.54E-13,,,,
2FGL J1156.7-0751,PointSource,179.1872453,-7.851278452,,1.01E-12,,,,
2FGL J1204.3-0711,PointSource,181.0949017,-7.186863291,,3.01E-13,,,,
2FGL J1305.1-2110,PointSource,196.2996674,-21.17512131,,2.72E-13,,,,
2FGL J1312.4-2157,PointSource,198.1234131,-21.95442772,,1.05E-12,,,,
2FGL J1618.2-7718,PointSource,244.561615,-77.30066681,,1.76E-11,,,,
2FGL J1626.0-7636,PointSource,246.515625,-76.60355377,,2.05E-14,,,,
2FGL J1725.1-7714,PointSource,261.2774048,-77.24809265,,5.33E-12,,,,
2FGL J1744.1-7620,PointSource,266.0460292,-76.34163332,,4.00E-12,,,,
2FGL J1347.0-2956,PointSource,206.7586,-29.9455,,5.81E-15,,,,
2FGL J1351.1-2749,PointSource,207.7873535,-27.83322334,,8.62E-13,,,,
2FGL J1351.3-2909,PointSource,207.846289,-29.15837955,,8.59E-13,,,,
2FGL J1456.7-6247c,PointSource,224.2,-62.788,,6.40E-13,,,,
2FGL J1507.0-6223,PointSource,226.7521973,-62.39704132,,3.86E-14,,,,
2FGL J1512.5-6247c,PointSource,228.1492462,-62.78522873,,4.98E-11,,,,
2FGL J2246.3+1549,PointSource,341.5851746,15.8252821,,2.62E-12,,,,
2FGL J2253.9+1609,PointSource,343.4974,16.1526,,2.80E-09,,,,
2FGL J1717.7-3342,PointSource,259.4410095,-33.71652985,,1.55E-11,,,,
2FGL J1721.5-0718c,PointSource,260.3833008,-7.300730228,,4.76E-12,,,,
2FGL J1722.5-0420,PointSource,260.6451111,-4.344199181,,3.46E-12,,,,
2FGL J1724.9-0508c,PointSource,261.2436689,-5.145274911,,7.32E-14,,,,
2FGL J1727.1-0704,PointSource,261.7967834,-7.079630852,,7.33E-13,,,,
2FGL J1745.6+0203,PointSource,266.414,2.066,,8.68E-13,,,,
2FGL J1747.6+0324,PointSource,266.9230041,3.402976274,,5.58E-13,,,,
2FGL J1749.1+0515,PointSource,267.2945251,5.262763977,,2.02E-12,,,,
2FGL J1902.3-1106,PointSource,285.5883484,-11.1030407,,6.18E-12,,,,
2FGL J1422.5-6137c,PointSource,215.6350861,-61.62251663,,8.13E-13,,,,
2FGL J1427.6-6048c,PointSource,216.9028168,-60.80409622,,1.46E-11,,,,
2FGL J1418.7-6058,PointSource,214.6911316,-60.97786713,,5.08E-12,,,,
2FGL J1420.1-6047,PointSource,215.0270081,-60.79699707,,2.60E-12,,,,
2FGL J1958.6+4020,PointSource,299.650116,40.34958649,,5.64E-13,,,,
2FGL J1958.9+3844,PointSource,299.730957,38.74009323,,3.40E-12,,,,
2FGL J1538.1+8159,PointSource,234.529892,81.9876709,,1.33E-14,,,,
2FGL J1629.4+8236,PointSource,247.3546906,82.61373138,,1.69E-12,,,,
2FGL J0009.1+5030,PointSource,2.291404009,50.50617981,,4.68E-13,,,,
2FGL J2347.0+5142,PointSource,356.7594141,51.70507063,,1.25E-13,,,,
2FGL J1239.5+0443,PointSource,189.8804016,4.730047226,,1.82E-11,,,,
2FGL J1239.5+0728,PointSource,189.8845111,7.478266863,,6.40E-14,,,,
2FGL J0205.8+6448,PointSource,31.45390511,64.80956268,,3.54E-12,,,,
2FGL J0423.4+5612,PointSource,65.86152649,56.20585251,,1.31E-14,,,,
2FGL J2356.1+4034,PointSource,359.0283508,40.58144379,,2.85E-14,,,,
2FGL J0507.5-6102,PointSource,76.88370514,-61.04340744,,2.72E-12,,,,
