name,type,RA,Dec,Flux_Density,l,b,x,y
1FGL J2250.1+3825,PointSource,342.5275,38.4328,7.91E-14,,,,
1FGL J2300.4+3138,PointSource,345.1096,31.6458,2.40E-13,,,,
1FGL J2304.3+3709,PointSource,346.0958,37.1614,1.16E-13,,,,
1FGL J2311.0+3425,PointSource,347.7706,34.4258,1.17E-11,,,,
1FGL J2322.0+3208,PointSource,350.501,32.1462,2.28E-12,,,,
1FGL J2325.2+3957,PointSource,351.3162,39.9639,1.68E-12,,,,
1FGL J2329.2+3755,PointSource,352.3006,37.9314,4.51E-14,,,,
1FGL J0035.9+5951,PointSource,8.989,59.8523,4.70E-13,,,,
1FGL J0046.8+5658,PointSource,11.7132,56.972,1.55E-12,,,,
1FGL J0102.8+5827,PointSource,15.7052,58.4666,1.10E-11,,,,
1FGL J0137.8+5814,PointSource,24.4532,58.2492,1.50E-12,,,,
1FGL J1522.1+3143,PointSource,230.545,31.7321,1.81E-10,,,,
1FGL J1531.8+3018,PointSource,232.9558,30.3115,5.08E-14,,,,
1FGL J1539.7+2747,PointSource,234.9428,27.7993,5.16E-13,,,,
1FGL J0100.2+0747,PointSource,15.0509,7.7969,6.23E-13,,,,
1FGL J0102.3+0942,PointSource,15.579,9.7142,1.87E-13,,,,
1FGL J1958.4-3847,PointSource,299.6101,-38.7958,1.44E-11,,,,
1FGL J1959.3-4241,PointSource,299.8287,-42.6975,4.52E-12,,,,
1FGL J0507.9+6738,PointSource,76.9931,67.6367,2.29E-13,,,,
1FGL J0533.9+6758,PointSource,83.4934,67.9794,4.69E-13,,,,
1FGL J0505.9+6121,PointSource,76.4853,61.3527,1.74E-14,,,,
1FGL J0527.6+6646,PointSource,81.9017,66.7756,8.13E-14,,,,
1FGL J0953.0-0838,PointSource,148.2673,-8.6461,8.36E-13,,,,
1FGL J0953.6-1505,PointSource,148.4068,-15.0912,7.63E-13,,,,
1FGL J0220.0+6257,PointSource,35.0021,62.9611,2.08E-12,,,,
1FGL J0205.6+6449,PointSource,31.408,64.8286,1.24E-11,,,,
1FGL J0218.8+6158c,PointSource,34.713,61.9723,3.72E-12,,,,
1FGL J0233.4+6654,PointSource,38.3742,66.9024,1.68E-15,,,,
1FGL J1304.0-4622,PointSource,196.0228,-46.3683,1.64E-13,,,,
1FGL J1304.3-4352,PointSource,196.0888,-43.8686,1.43E-12,,,,
1FGL J1307.0-4030,PointSource,196.7739,-40.5104,1.55E-11,,,,
1FGL J1307.6-4259,PointSource,196.9097,-42.9996,2.47E-13,,,,
1FGL J2111.3+4607,PointSource,317.8401,46.1264,5.30E-12,,,,
1FGL J2139.9+4715,PointSource,324.987,47.2579,6.15E-12,,,,
1FGL J2341.6+8015,PointSource,355.4106,80.2637,2.72E-12,,,,
1FGL J2147.0+3119,PointSource,326.751,31.327,3.18E-12,,,,
1FGL J2157.4+3129,PointSource,329.3673,31.4984,1.32E-11,,,,
1FGL J2214.8+3002,PointSource,333.7056,30.0428,6.41E-12,,,,
1FGL J0647.3+0031,PointSource,101.8417,0.5289,3.25E-12,,,,
1FGL J0656.2-0321,PointSource,104.0701,-3.3615,3.59E-11,,,,
1FGL J0526.3-4829,PointSource,81.5937,-48.4856,4.42E-12,,,,
1FGL J0538.4-3910,PointSource,84.6049,-39.1794,1.26E-12,,,,
1FGL J0538.8-4404,PointSource,84.7183,-44.0807,1.14E-10,,,,
1FGL J0550.8-4400,PointSource,87.7214,-44.0044,2.58E-14,,,,
1FGL J1610.6-6649,PointSource,242.6683,-66.8287,1.92E-13,,,,
1FGL J1617.7-5843,PointSource,244.4424,-58.7329,2.50E-11,,,,
1FGL J1629.5-6147,PointSource,247.3767,-61.7955,7.25E-12,,,,
1FGL J0316.1+0904,PointSource,49.0474,9.0823,2.20E-13,,,,
1FGL J0750.6+1235,PointSource,117.6692,12.5901,6.42E-12,,,,
1FGL J0757.2+0956,PointSource,119.3073,9.9432,7.52E-12,,,,
1FGL J1625.3-0019,PointSource,246.3317,-0.3253,3.66E-12,,,,
1FGL J1627.9+0254,PointSource,246.9816,2.9155,2.77E-13,,,,
1FGL J1225.8+4336,PointSource,186.4662,43.6014,8.59E-12,,,,
1FGL J1243.1+3627,PointSource,190.7868,36.4556,2.78E-13,,,,
1FGL J1249.8+3706,PointSource,192.4725,37.113,9.82E-14,,,,
1FGL J1256.9+3650,PointSource,194.2427,36.8337,1.86E-13,,,,
1FGL J1220.2+3432,PointSource,185.0594,34.5337,1.02E-13,,,,
1FGL J0354.6+8009,PointSource,58.6522,80.1591,1.02E-11,,,,
1FGL J0336.0+7845,PointSource,54.0044,78.75,2.81E-14,,,,
1FGL J0654.3+4514,PointSource,103.5756,45.246,2.37E-11,,,,
1FGL J0654.4+5042,PointSource,103.6226,50.7131,3.86E-12,,,,
1FGL J0712.7+5033,PointSource,108.1799,50.5616,1.68E-12,,,,
1FGL J0711.4+4731,PointSource,107.8745,47.5296,4.28E-12,,,,
1FGL J1121.0+4209,PointSource,170.2523,42.1607,6.50E-14,,,,
1FGL J1138.0+4109,PointSource,174.5134,41.1614,6.48E-14,,,,
1FGL J1146.8+4004,PointSource,176.7249,40.08,3.34E-12,,,,
1FGL J1150.5+4152,PointSource,177.6408,41.8821,6.84E-13,,,,
1FGL J1209.4+4119,PointSource,182.3711,41.3204,9.37E-14,,,,
1FGL J0702.0-4628,PointSource,105.5223,-46.482,1.76E-12,,,,
1FGL J0706.3-4849,PointSource,106.5968,-48.8253,1.46E-12,,,,
1FGL J0718.7-4320,PointSource,109.6937,-43.3357,5.60E-13,,,,
1FGL J0724.7-4714,PointSource,111.1892,-47.2418,2.16E-12,,,,
1FGL J0718.8-4958,PointSource,109.7126,-49.978,4.73E-13,,,,
1FGL J0419.0+3811,PointSource,64.7597,38.1929,7.63E-12,,,,
1FGL J0423.8+4148,PointSource,65.9596,41.816,4.45E-13,,,,
1FGL J0430.3+3511c,PointSource,67.5906,35.1842,5.52E-12,,,,
1FGL J2015.7+3708,PointSource,303.9288,37.1399,1.81E-11,,,,
1FGL J2027.6+3335,PointSource,306.9152,33.592,3.37E-11,,,,
1FGL J2030.0+3641,PointSource,307.5017,36.6841,1.32E-12,,,,
1FGL J2021.0+3651,PointSource,305.2687,36.8575,1.30E-10,,,,
1FGL J2034.7+3639,PointSource,308.6965,36.6509,5.81E-13,,,,
1FGL J1331.0+5202,PointSource,202.7671,52.0492,4.68E-13,,,,
1FGL J1312.4+4827,PointSource,198.1098,48.4533,2.66E-12,,,,
1FGL J1332.9+4728,PointSource,203.2444,47.4721,1.99E-12,,,,
1FGL J1333.2+5056,PointSource,203.3027,50.9481,3.10E-12,,,,
1FGL J0738.2+1741,PointSource,114.5638,17.6982,3.74E-12,,,,
1FGL J0751.1+1807,PointSource,117.7881,18.1274,3.08E-12,,,,
1FGL J1709.6+4320,PointSource,257.4195,43.3424,3.95E-12,,,,
1FGL J1727.3+4525,PointSource,261.8391,45.4211,1.35E-11,,,,
1FGL J1727.9+5010,PointSource,261.998,50.1815,2.11E-13,,,,
1FGL J1510.8-5804c,PointSource,227.7064,-58.072,4.54E-13,,,,
1FGL J1514.7-5917,PointSource,228.6801,-59.2926,1.87E-14,,,,
1FGL J1521.8-5734c,PointSource,230.453,-57.5672,4.93E-11,,,,
1FGL J1509.4-5850,PointSource,227.363,-58.8489,8.18E-12,,,,
1FGL J1503.4-5805c,PointSource,225.8732,-58.0993,1.21E-12,,,,
1FGL J1513.2-5904,PointSource,228.3202,-59.0822,1.62E-14,,,,
1FGL J1417.7-4407,PointSource,214.4281,-44.1321,1.88E-12,,,,
1FGL J1428.2-4204,PointSource,217.0705,-42.0711,9.19E-12,,,,
1FGL J1444.0-3906,PointSource,221.0052,-39.116,7.92E-13,,,,
1FGL J1446.8-4702,PointSource,221.7023,-47.0408,2.78E-12,,,,
1FGL J1407.5-4256,PointSource,211.888,-42.9485,4.39E-13,,,,
1FGL J1124.4-3654,PointSource,171.1094,-36.9126,8.20E-13,,,,
1FGL J1125.5-3559,PointSource,171.3949,-35.9978,9.86E-14,,,,
1FGL J1146.9-3812,PointSource,176.746,-38.2104,5.30E-12,,,,
1FGL J1154.2-3242,PointSource,178.5734,-32.7008,3.96E-13,,,,
1FGL J1549.3+0235,PointSource,237.343,2.5954,1.00E-11,,,,
1FGL J1550.7+0527,PointSource,237.6822,5.4597,1.61E-12,,,,
1FGL J0540.9-0547,PointSource,85.2315,-5.7897,1.62E-12,,,,
1FGL J0534.7-0531c,PointSource,83.687,-5.522,3.65E-12,,,,
1FGL J0540.4-0737c,PointSource,85.1218,-7.6265,4.25E-13,,,,
1FGL J0539.4-0400,PointSource,84.87,-4.0164,2.51E-12,,,,
1FGL J0536.2-0607c,PointSource,84.062,-6.1282,1.21E-12,,,,
1FGL J1443.8+2457,PointSource,220.9734,24.9568,2.92E-13,,,,
1FGL J1501.1+2237,PointSource,225.2817,22.6234,4.52E-13,,,,
1FGL J1516.9+1928,PointSource,229.2497,19.4831,1.53E-12,,,,
