name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
FL8Y J1520.0-0905,PointSource,230.0074,-9.0923,,1.02686E-14,,,,
FL8Y J0940.5-7610,PointSource,145.127,-76.1767,,1.57707E-12,,,,
FL8Y J0953.5-7700,PointSource,148.3799,-77.0012,,1.49763E-14,,,,
FL8Y J1001.0-7748,PointSource,150.2608,-77.8082,,1.56884E-12,,,,
FL8Y J1014.3-7550,PointSource,153.5937,-75.8335,,2.51742E-12,,,,
FL8Y J1036.2-7415,PointSource,159.0599,-74.2623,,1.61683E-12,,,,
FL8Y J1152.0+2837,PointSource,178.0218,28.6229,,5.50332E-15,,,,
FL8Y J1159.5+2914,PointSource,179.8815,29.2419,,4.95222E-11,,,,
FL8Y J1405.2-0641,PointSource,211.3239,-6.6959,,2.13831E-14,,,,
FL8Y J1408.9-0751,PointSource,212.2433,-7.856,,5.04577E-12,,,,
FL8Y J1411.5-0723,PointSource,212.8823,-7.397,,6.97613E-15,,,,
FL8Y J1824.5-1351e,DiffuseSource,276.1298,-13.8521,0.497,1.20982E-13,,,,
FL8Y J1821.2-1422,PointSource,275.3037,-14.3684,,3.72182E-13,,,,
FL8Y J1821.7-1443,PointSource,275.4312,-14.7257,,5.39994E-13,,,,
FL8Y J1822.3-1330,PointSource,275.5824,-13.5154,,3.1035E-13,,,,
FL8Y J1823.3-1339,PointSource,275.8336,-13.6655,,1.33026E-12,,,,
FL8Y J1823.9-1304,PointSource,275.993,-13.0817,,9.43581E-12,,,,
FL8Y J1409.1-6121e,DiffuseSource,212.294,-61.353,0.733,7.16972E-13,,,,
FL8Y J1405.3-6119,PointSource,211.3259,-61.327,,1.69725E-12,,,,
FL8Y J1410.3-6132,PointSource,212.5983,-61.5356,,5.03819E-13,,,,
FL8Y J1413.5-6205,PointSource,213.3817,-62.0914,,9.02423E-12,,,,
FL8Y J0103.0+4955,PointSource,15.7675,49.9319,,5.4087E-13,,,,
FL8Y J0113.5+4948,PointSource,18.3762,49.8041,,6.65479E-13,,,,
FL8Y J0102.8+4839,PointSource,15.7133,48.657,,1.68243E-12,,,,
FL8Y J0106.4+4855,PointSource,16.6158,48.9241,,1.56794E-12,,,,
FL8Y J1524.8-5904,PointSource,231.2097,-59.0691,,7.17103E-14,,,,
FL8Y J1534.7-5842,PointSource,233.6845,-58.716,,1.84059E-14,,,,
FL8Y J1542.1-5901,PointSource,235.5385,-59.0273,,5.75168E-13,,,,
FL8Y J1528.3-5838,PointSource,232.0909,-58.6386,,1.14779E-12,,,,
FL8Y J2031.3+3900,PointSource,307.8366,39.0106,,1.52295E-12,,,,
FL8Y J2033.1+3937,PointSource,308.2804,39.6249,,4.01326E-13,,,,
FL8Y J2034.2+3840,PointSource,308.5645,38.6771,,2.07983E-12,,,,
FL8Y J2032.0+1220,PointSource,308.0043,12.3413,,3.33166E-13,,,,
FL8Y J2034.5+1154,PointSource,308.6413,11.9114,,4.76073E-13,,,,
FL8Y J2035.4+1056,PointSource,308.8521,10.9397,,2.16674E-11,,,,
FL8Y J2039.9+1238,PointSource,309.9946,12.6386,,5.24835E-14,,,,
FL8Y J0928.3-5256,PointSource,142.0962,-52.9392,,2.94229E-15,,,,
FL8Y J0929.4-5101,PointSource,142.3641,-51.0214,,6.04269E-13,,,,
FL8Y J0933.5-5240,PointSource,143.397,-52.6763,,4.17876E-15,,,,
FL8Y J0933.9-5126,PointSource,143.4931,-51.4394,,2.88386E-13,,,,
FL8Y J0922.2-5141,PointSource,140.5526,-51.6944,,2.01891E-12,,,,
FL8Y J0926.8-5239,PointSource,141.7153,-52.6552,,7.46223E-13,,,,
FL8Y J1957.9+6941,PointSource,299.4821,69.6988,,1.11682E-14,,,,
FL8Y J2001.7+7040,PointSource,300.4377,70.673,,9.37971E-14,,,,
FL8Y J2005.0+7003,PointSource,301.2616,70.0578,,2.40864E-14,,,,
FL8Y J2204.5+3634,PointSource,331.1255,36.5689,,4.57204E-14,,,,
FL8Y J2210.4+3624,PointSource,332.6044,36.4056,,2.52104E-12,,,,
FL8Y J2208.1+4059,PointSource,332.0436,40.9855,,4.32372E-12,,,,
FL8Y J0507.4-3346,PointSource,76.8586,-33.783,,7.17868E-15,,,,
FL8Y J0509.3-2917,PointSource,77.3359,-29.2869,,2.73548E-13,,,,
FL8Y J0522.9-3628,PointSource,80.7405,-36.4688,,7.46928E-11,,,,
FL8Y J2014.5+0648,PointSource,303.6362,6.809,,1.50562E-14,,,,
FL8Y J2019.6+0617,PointSource,304.924,6.2857,,4.21772E-14,,,,
FL8Y J2021.9+0629,PointSource,305.4897,6.4911,,7.05414E-14,,,,
FL8Y J2017.3+0603,PointSource,304.3424,6.0521,,2.36442E-12,,,,
FL8Y J2010.3+0727,PointSource,302.5845,7.4513,,3.58054E-12,,,,
FL8Y J1616.2-5054e,DiffuseSource,244.06,-50.91,0.32,4.93974E-14,,,,
FL8Y J1617.3-5106,PointSource,244.3314,-51.1033,,5.65237E-14,,,,
FL8Y J1618.0-5033,PointSource,244.522,-50.5516,,3.28956E-14,,,,
FL8Y J1618.0-5119,PointSource,244.506,-51.319,,1.26688E-14,,,,
FL8Y J1619.5-5105,PointSource,244.8824,-51.0989,,2.00949E-14,,,,
FL8Y J1620.2-5116,PointSource,245.0522,-51.276,,8.3698E-15,,,,
FL8Y J1620.9-5035,PointSource,245.2382,-50.5938,,1.83132E-14,,,,
FL8Y J1622.8-5107,PointSource,245.7148,-51.1218,,8.73054E-13,,,,
FL8Y J1614.1-5042,PointSource,243.5431,-50.7017,,2.04174E-13,,,,
FL8Y J1619.9-5046,PointSource,244.9791,-50.7695,,1.20307E-13,,,,
FL8Y J2223.3+0102,PointSource,335.8326,1.0482,,7.40665E-15,,,,
FL8Y J2226.6+0210,PointSource,336.6567,2.1791,,2.32514E-15,,,,
FL8Y J2226.8+0053,PointSource,336.7208,0.8858,,4.58491E-13,,,,
FL8Y J2227.9+0036,PointSource,336.984,0.6153,,8.49856E-14,,,,
FL8Y J1829.0-2417,PointSource,277.2577,-24.2905,,2.31967E-14,,,,
FL8Y J1830.8-2414,PointSource,277.7154,-24.2496,,3.11347E-13,,,,
FL8Y J0809.7+3455,PointSource,122.4276,34.9286,,1.86652E-14,,,,
FL8Y J0817.8+3243,PointSource,124.4648,32.7236,,1.68191E-14,,,,
FL8Y J0818.8+3229,PointSource,124.7,32.4865,,1.63214E-14,,,,
FL8Y J0818.7+3152,PointSource,124.6991,31.8725,,1.6793E-14,,,,
FL8Y J1505.4-8241,PointSource,226.3684,-82.6993,,1.42824E-14,,,,
FL8Y J1522.5-8056,PointSource,230.6467,-80.9363,,2.75448E-13,,,,
FL8Y J1537.7-7957,PointSource,234.4406,-79.9561,,3.13501E-13,,,,
FL8Y J1530.0-8203,PointSource,232.5097,-82.0554,,3.94347E-15,,,,
FL8Y J2212.0+2355,PointSource,333.0141,23.9328,,8.59101E-13,,,,
FL8Y J2216.9+2421,PointSource,334.2448,24.3555,,5.00342E-13,,,,
FL8Y J2225.5+2120,PointSource,336.3759,21.3482,,1.94615E-12,,,,
FL8Y J2228.5+2211,PointSource,337.1387,22.191,,1.35022E-13,,,,
FL8Y J2229.2+2254,PointSource,337.301,22.9133,,6.82808E-15,,,,
FL8Y J1200.6+1229,PointSource,180.173,12.4834,,2.54184E-13,,,,
FL8Y J1203.3+1119,PointSource,180.8302,11.3308,,5.21035E-14,,,,
FL8Y J1204.0+1146,PointSource,181.0202,11.7748,,1.91445E-14,,,,
FL8Y J1208.2+1158,PointSource,182.0683,11.9776,,8.48308E-15,,,,
FL8Y J1213.5+1307,PointSource,183.3941,13.1276,,1.0305E-12,,,,
FL8Y J1149.0+5925,PointSource,177.2543,59.4202,,2.94325E-14,,,,
FL8Y J1151.5+5859,PointSource,177.8825,58.9882,,6.32453E-14,,,,
FL8Y J1154.1+6019,PointSource,178.526,60.3202,,2.35056E-12,,,,
FL8Y J1155.8+6137,PointSource,178.9519,61.6244,,6.49716E-15,,,,
FL8Y J1203.1+6031,PointSource,180.79,60.5195,,3.41153E-13,,,,
FL8Y J1208.4+6121,PointSource,182.1084,61.3564,,7.22795E-15,,,,
FL8Y J0401.0-5354,PointSource,60.2564,-53.9091,,1.09899E-15,,,,
FL8Y J0406.0-5410,PointSource,61.5036,-54.1701,,8.68728E-14,,,,
FL8Y J0412.9-5332,PointSource,63.2482,-53.5498,,6.86629E-13,,,,
FL8Y J0414.7-5339,PointSource,63.6774,-53.6502,,2.27087E-15,,,,
FL8Y J2315.6-5017,PointSource,348.9245,-50.284,,5.40694E-13,,,,
FL8Y J2316.9-5209,PointSource,349.2403,-52.1662,,2.2855E-14,,,,
FL8Y J2322.0-4841,PointSource,350.5059,-48.695,,1.78602E-14,,,,
FL8Y J2322.8-4916,PointSource,350.7053,-49.276,,5.16522E-14,,,,
FL8Y J2325.3-4800,PointSource,351.3496,-48.0053,,3.41355E-13,,,,
FL8Y J2329.3-4732,PointSource,352.3292,-47.5474,,3.84379E-13,,,,
FL8Y J2329.3-4956,PointSource,352.3286,-49.9341,,9.27306E-11,,,,
FL8Y J0836.8-4638,PointSource,129.2048,-46.6422,,1.96658E-14,,,,
FL8Y J0840.2-4543,PointSource,130.0724,-45.7289,,6.7953E-15,,,,
FL8Y J0842.1-4610,PointSource,130.5356,-46.1813,,7.20499E-14,,,,
FL8Y J0838.7-4611,PointSource,129.6922,-46.1999,,4.98569E-14,,,,
FL8Y J1043.3-5941,PointSource,160.8326,-59.6834,,6.37563E-14,,,,
FL8Y J1043.6-5930,PointSource,160.9174,-59.5074,,3.68137E-14,,,,
FL8Y J1045.1-5940,PointSource,161.2806,-59.6827,,1.05277E-12,,,,
FL8Y J1045.8-5951,PointSource,161.4553,-59.8554,,1.99315E-14,,,,
FL8Y J1046.8-6008,PointSource,161.7212,-60.1482,,7.5738E-13,,,,
FL8Y J2319.1-4206,PointSource,349.7809,-42.1124,,1.01193E-13,,,,
FL8Y J2324.7-4040,PointSource,351.1819,-40.6823,,7.85368E-14,,,,
FL8Y J2327.0-4129,PointSource,351.7634,-41.4978,,2.77165E-13,,,,
FL8Y J2328.3-4036,PointSource,352.0814,-40.6084,,5.64597E-12,,,,
FL8Y J2332.1-4119,PointSource,353.0399,-41.3302,,5.02906E-14,,,,
FL8Y J2336.6-4115,PointSource,354.1654,-41.2636,,1.01625E-12,,,,
FL8Y J1240.5-2607,PointSource,190.1384,-26.1237,,1.28493E-13,,,,
FL8Y J1246.7-2547,PointSource,191.6871,-25.7999,,3.08577E-11,,,,
FL8Y J1252.8-2520,PointSource,193.2018,-25.3357,,1.08465E-12,,,,
FL8Y J1438.9+3710,PointSource,219.7451,37.1753,,3.5983E-12,,,,
FL8Y J1448.0+3608,PointSource,222.0154,36.1341,,5.08552E-13,,,,
FL8Y J0647.7+0031,PointSource,101.94,0.5197,,2.37888E-13,,,,
FL8Y J0648.7+0054,PointSource,102.1947,0.9079,,4.72151E-13,,,,
FL8Y J0649.9-0107,PointSource,102.477,-1.1322,,6.49473E-13,,,,
FL8Y J1947.6-1121,PointSource,296.9151,-11.3523,,3.46908E-13,,,,
FL8Y J1951.1-1104,PointSource,297.7959,-11.0809,,2.14659E-14,,,,
FL8Y J1954.6-1122,PointSource,298.6587,-11.3818,,1.32165E-12,,,,
FL8Y J2000.6-1328,PointSource,300.1634,-13.4742,,6.99067E-13,,,,
FL8Y J2001.5-0959,PointSource,300.3877,-9.9907,,6.79501E-13,,,,
FL8Y J0004.8+6623,PointSource,1.2199,66.398,,2.06145E-12,,,,
FL8Y J0017.4+6626,PointSource,4.3748,66.4469,,1.09455E-13,,,,
FL8Y J2353.4+6645,PointSource,358.3621,66.7649,,2.75363E-13,,,,
FL8Y J2358.6+6547,PointSource,359.6658,65.7917,,4.89845E-13,,,,
FL8Y J1955.1-1603,PointSource,298.7779,-16.0617,,1.604E-13,,,,
