shapeid,ID,MARE_NAME,Perimtr_km,Area_km
164.0.ring1,0,Mare Australe,7761.257737,78868.18544
164.0.ring2,0,Mare Australe,7761.257737,78868.18544
164.0.ring3,0,Mare Australe,7761.257737,78868.18544
164.0.ring4,0,Mare Australe,7761.257737,78868.18544
164.0.ring5,0,Mare Australe,7761.257737,78868.18544
164.0.ring6,0,Mare Australe,7761.257737,78868.18544
164.0.ring7,0,Mare Australe,7761.257737,78868.18544
164.0.ring8,0,Mare Australe,7761.257737,78868.18544
164.0.ring9,0,Mare Australe,7761.257737,78868.18544
164.0.ring10,0,Mare Australe,7761.257737,78868.18544
164.0.ring11,0,Mare Australe,7761.257737,78868.18544
164.0.ring12,0,Mare Australe,7761.257737,78868.18544
164.0.ring13,0,Mare Australe,7761.257737,78868.18544
164.0.ring14,0,Mare Australe,7761.257737,78868.18544
164.0.ring15,0,Mare Australe,7761.257737,78868.18544
164.0.ring16,0,Mare Australe,7761.257737,78868.18544
165,0,Mare Australe,1253.202315,9221.517141
165.0.ring1,0,Mare Australe,1253.202315,9221.517141
165.0.ring2,0,Mare Australe,1253.202315,9221.517141
166,0,Mare Australe,563.6525733,3008.212529
167,0,Mare Australe,94.03554024,409.7415875
168,0,Mare Australe,411.2673548,1543.219351
169,0,Mare Australe,178.4586169,523.6464759
170,0,Mare Australe,134.6790159,215.1840817
171,0,Mare Australe,372.651935,4745.344523
172,0,Mare Australe,450.6837955,2501.42589
173,0,Mare Australe,199.2678922,995.5561393
174,0,Mare Australe,44.03751616,102.0001934
175,0,Mare Australe,286.6515597,1995.679879
176,0,Mare Australe,491.2433726,2259.859544
177,0,Mare Australe,146.5353753,515.3728073
178,0,Mare Australe,105.1552031,358.9878542
179,0,Mare Australe,27.26030941,33.10301601
180,0,Mare Australe,44.50896251,61.10784082
181,0,Mare Australe,69.44452865,79.71082976
182,0,Mare Australe,43.39872478,85.41627531
183,0,Mare Australe,115.07321,392.4658196
184,0,Mare Australe,113.2417224,625.873855
185,0,Mare Australe,91.33170355,278.9311536
186,0,Mare Australe,128.9378204,340.099016
186.0.ring1,0,Mare Australe,128.9378204,340.099016
186.0.ring2,0,Mare Australe,128.9378204,340.099016
187,0,Mare Australe,73.34443539,230.0227375
188,0,Mare Australe,97.16159689,318.0768917
189,0,Mare Australe,112.1890057,317.7055491
190,0,Mare Australe,74.39125805,148.8270767
191,0,Mare Australe,110.3063651,418.3865694
192,0,Mare Australe,120.0214435,209.7751792
193,0,Mare Australe,147.2099757,453.7171702
194,0,Mare Australe,267.8805738,1124.964077
195,0,Mare Australe,310.0186256,1225.806765
196,0,Mare Australe,217.8211615,865.0266758
196.0.ring1,0,Mare Australe,217.8211615,865.0266758
197,0,Mare Australe,264.5982269,1138.077213
198,0,Mare Australe,103.6815455,474.3680471
199,0,Mare Australe,184.7879009,615.3281456
200,0,Mare Australe,141.6137168,658.7090107
201,0,Mare Australe,54.67737606,97.22865299
202,0,Mare Australe,41.98245939,101.0669695
203,0,Mare Australe,190.1177523,1139.52305
204,0,Mare Australe,126.5377803,479.0566734
205,0,Mare Australe,411.8219521,2194.266076
206,0,Mare Australe,176.3433108,1014.487284
207,0,Mare Australe,120.7903692,168.4411027
208,0,Mare Australe,110.8621039,386.5979782
209,0,Mare Australe,71.21199242,198.7016247
210,0,Mare Australe,285.8446141,940.7292472
210.0.ring1,0,Mare Australe,285.8446141,940.7292472
210.0.ring2,0,Mare Australe,285.8446141,940.7292472
211,0,Mare Australe,38.88007524,69.31125298
212,0,Mare Australe,71.23734224,207.9203685
213,0,Mare Australe,557.254805,2329.738589
213.0.ring1,0,Mare Australe,557.254805,2329.738589
213.0.ring2,0,Mare Australe,557.254805,2329.738589
213.0.ring3,0,Mare Australe,557.254805,2329.738589
214,0,Mare Australe,74.95671875,149.6964868
215,0,Mare Australe,82.68772442,106.432454
216,0,Mare Australe,187.0538703,217.1141281
217,0,Mare Australe,43.33674289,41.87521336
218,0,Mare Australe,49.63288625,34.39278549
219,0,Mare Australe,37.88182238,35.05947376
220,0,Mare Australe,20.05268443,13.03991317
221,8,Mare Australe,87.90972412,134.277661
222,8,Mare Australe,115.3051958,200.8137018
223,8,Mare Australe,40.79423513,40.46400857
224,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring1,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring2,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring3,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring4,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring5,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring6,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring7,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring8,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring9,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring10,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring11,0,Mare Cognitum,3742.830881,71998.20972
224.0.ring12,0,Mare Cognitum,3742.830881,71998.20972
